CITY,CITY_code
Chambersburg,354
Chamblee,355
Champaign,356
Chandler,357
Chanute,358
Chapel Hill,359
Charles Town,360
Charleston,361
Charlotte,362
Charlotte Amalie,363
Charlottesville,364
Charlton,365
Chattanooga,366
Cheektowaga,367
Cheney,368
Cheraw,369
Cherry Hill,370
Chesapeake,371
Chester,372
Chesterfield,373
Chestertown,374
Chestnut Hill,375
Cheyenne,376
Cheyney,377
Chicago,378
Chicago Heights,379
Chickasha,380
Chico,381
Chicopee,382
Chillicothe,383
Chipley,384
Choctaw,385
Christiansburg,386
Chubbuck,387
Chula Vista,388
Cicero,389
Cincinnati,390
Circleville,391
Cisco,392
Citrus Heights,393
Claremont,394
Claremore,395
Clarendon,396
Clarion,397
Clarkesville,398
Clarksburg,399
Clarksdale,400
Clarkston,401
Clarksville,402
Clearfield,403
Clearwater,404
Clemson,405
Cleveland,406
Clifton,407
Clifton Forge,408
Clinton,409
Clinton Township,410
Cloquet,411
Clovis,412
Clute,413
Clyde,414
Coachella,415
Coalinga,416
Coamo,417
Cobleskill,418
Cocoa,419
Coconut Creek,420
Coeur D'Alene,421
Coeur d'Alene,422
Coffeyville,423
Colby,424
Colchester,425
College Park,426
College Place,427
College Station,428
Collegedale,429
Collegeville,430
Colonial Heights,431
Colorado Springs,432
Colton,433
Columbia,434
Columbia Station,435
Columbus,436
Commerce,437
Compton,438
Conception,439
Concord,440
Concord Twp,441
Concordia,442
Conroe,443
Conway,444
Conyers,445
Cookeville,446
Coolidge,447
Coon Rapids,448
Coos Bay,449
Copiague,450
Copley,451
Coral Gables,452
Cordova,453
Corinth,454
Corning,455
Corona,456
Corpus Christi,457
Corsicana,458
Cortland,459
Corvallis,460
Costa Mesa,461
Cottleville,462
Council Bluffs,463
Covina,464
Covington,465
Coxsackie,466
Craftsbury Common,467
Cranford,468
Cranston,469
Crawfordsville,470
Cresson,471
Creston,472
Crestview Hills,473
Crestwood,474
Crete,475
Cromwell,476
Crookston,477
Crossville,478
Crow Agency,479
Crownpoint,480
Crump,481
Crystal Lake,482
Cullowhee,483
Culpeper,484
Culver City,485
Cumberland,486
Cumming,487
Cupertino,488
Curtis,489
Cuthbert,490
Cutler Bay,491
Cuyahoga Falls,492
Cypress,493
Dagsboro,494
Dahlonega,495
Dallas,496
Dalton,497
Daly City,498
Danbury,499
Danielson,500
Danvers,501
Danville,502
Daphne,503
Davenport,504
Davidson,505
Davie,506
Davis,507
Davison,508
Dayton,509
Daytona Beach,510
De Pere,511
De Queen,512
DeFuniak Springs,513
DeLand,514
Dearborn,515
Dearborn Heights,516
Deatsville,517
Decatur,518
Decorah,519
Deerfield,520
Deerfield Beach,521
Defiance,522
Dekalb,523
Del Rio,524
Delano,525
Delaware,526
Delbarton,527
Delhi,528
Delray Beach,529
Delta,530
Demorest,531
Denham Springs,532
Denison,533
Denmark,534
Denton,535
Denver,536
Denville,537
Des Moines,538
Des Plaines,539
Destrehan,540
Detroit,541
Detroit Lakes,542
Devils Lake,543
Dickinson,544
Dickson,545
Dillon,546
Dimondale,547
Dix Hills,548
Dixon,549
Dobbs Ferry,550
Dobson,551
Dodge City,552
Donaldson,553
Doral,554
Dothan,555
Douglas,556
Douglasville,557
Dover,558
Dowagiac,559
Downers Grove,560
Downey,561
Downingtown,562
Doylestown,563
Draper,564
Drumright,565
Dryden,566
DuBois,567
Duarte,568
Dublin,569
Dubuque,570
Dudley,571
Due West,572
Duluth,573
Dunbar,574
Duncan,575
Dunmore,576
Dunn,577
Dunwoody,578
Durango,579
Durant,580
Durham,581
Dyersburg,582
ERIAL,583
Eagan,584
Eagle Pass,585
East Aurora,586
East Brunswick,587
East Grand Forks,588
East Greenwich,589
East Hartford,590
East Lansing,591
East Liverpool,592
East Moline,593
East Orange,594
East Peoria,595
East Providence,596
East Stroudsburg,597
East Windsor,598
Eastlake,599
Eastman,600
Easton,601
Eatontown,602
Eau Claire,603
Edinboro,604
Edinburg,605
Edison,606
Edmond,607
Edwardsville,608
Egg Harbor Township,609
El Cajon,610
El Centro,611
El Dorado,612
El Dorado Hills,613
El Monte,614
El Paso,615
El Reno,616
Eleanor,617
Elgin,618
Elizabeth,619
Elizabeth City,620
Elizabethton,621
Elizabethtown,622
Elkhart,623
Elkhorn,624
Elkins,625
Elkins Park,626
Elko,627
Elkton,628
Ellendale,629
Ellensburg,630
Ellisville,631
Ellsworth Air Force Base,632
Elmhurst,633
Elmira,634
Elmsford,635
Elmwood Park,636
Elon,637
Elsah,638
Ely,639
Elyria,640
Emeryville,641
Emmitsburg,642
Emory,643
Emporia,644
Encino,645
Enfield,646
Englewood,647
Englewood Cliffs,648
Enid,649
Enterprise,650
Eolia,651
Ephraim,652
Epworth,653
Erie,654
Erlanger,655
Escanaba,656
Escondido,657
Espanola,658
Essington,659
Estherville,660
Euclid,661
Eugene,662
Eunice,663
Eureka,664
Eustis,665
Evans,666
Evanston,667
Evansville,668
Eveleth,669
Everett,670
Evergreen,671
Ewing,672
Exton,673
FALLS CHURCH,674
FREDERICK,675
Fairbanks,676
Fairburn,677
Fairfax,678
Fairfield,679
Fairmont,680
Fairview,681
Fajardo,682
Fall River,683
Falls Church,684
Falls Creek,685
Far Rockaway,686
Fargo,687
Faribault,688
Farmers Branch,689
Farmingdale,690
Farmington,691
Farmington Hills,692
Farmville,693
Fayette,694
Fayetteville,695
Feasterville,696
Federal Way,697
Fennimore,698
Fenton,699
Fergus Falls,700
Ferrum,701
Findlay,702
Fitchburg,703
Flagstaff,704
Flat Rock,705
Flint,706
Florence,707
Florissant,708
Flushing,709
Foley,710
Folsom,711
Fond Du Lac,712
Fond du Lac,713
Fontana,714
Ford City,715
Forest City,716
Forest Grove,717
Forest Hills,718
Forrest City,719
Fort  Morgan,720
Fort Cobb,721
Fort Collins,722
Fort Dodge,723
Fort Kent,724
Fort Lauderdale,725
Fort Leonard Wood,726
Fort Mohave,727
Fort Myers,728
Fort Pierce,729
Fort Scott,730
Fort Sill,731
Fort Smith,732
Fort Totten,733
Fort Valley,734
Fort Walton Beach,735
Fort Wayne,736
Fort Worth,737
Fort Yates,738
Forty Fort,739
Fountain Hills,740
Fountain Valley,741
Frackville,742
Framingham,743
Frankfort,744
Franklin,745
Franklin Springs,746
Frederick,747
Fredericksburg,748
Fredonia,749
Freehold,750
Freemont,751
Freeport,752
Fremont,753
French Camp,754
Fresno,755
Frisco,756
Frostburg,757
Ft Benning,758
Ft Myers,759
Ft Smith,760
Ft. Drum,761
Ft. Smith,762
Ft. Stewart,763
Ft. Washington,764
Fullerton,765
Fulton,766
Gadsden,767
Gaffney,768
Gainesville,769
Galesburg,770
Gallatin,771
Galloway,772
Gallup,773
Galveston,774
Gambier,775
Garden City,776
Garden Grove,777
Gardena,778
Gardendale,779
Gardner,780
Garland,781
Gary,782
Gastonia,783
Geneseo,784
Geneva,785
Georgetown,786
Gering,787
Gettysburg,788
Getzville,789
Gilroy,790
Glasgow,791
Glassboro,792
Glen Allen,793
Glen Burnie,794
Glen Cove,795
Glen Dale,796
Glen Ellyn,797
Glendale,798
Glendale Heights,799
Glendive,800
Glendora,801
Glenns,802
Glenside,803
Glenville,804
Glenwood Springs,805
Gloucester,806
Godfrey,807
Golden,808
Goldsboro,809
Gonzales,810
Goodland,811
Goodlettsville,812
Goodman,813
Goodwell,814
Goose Creek,815
Goshen,816
Graceville,817
Graham,818
Grambling,819
Granada Hills,820
Grand Blanc,821
Grand Forks,822
Grand Island,823
Grand Junction,824
Grand Prairie,825
Grand Rapids,826
Granger,827
Granite Falls,828
Graniteville,829
Grants,830
Grants Pass,831
Grantsboro,832
Granville,833
Grayling,834
Grayslake,835
Grayson,836
Great Barrington,837
Great Bend,838
Great Falls,839
Greeley,840
Green Bay,841
Greenacres,842
Greencastle,843
Greendale,844
Greeneville,845
Greenfield,846
Greensboro,847
Greensburg,848
Greenville,849
Greenwood,850
Grenada,851
Gresham,852
Gretna,853
Griffin,854
Grinnell,855
Groton,856
Grove City,857
Groveport,858
Grundy,859
Guayama,860
Guaynabo,861
Guilford,862
Gulfport,863
Gunnison,864
Gurabo,865
Gurnee,866
Gwynedd Valley,867
HASKELL,868
Hackensack,869
Hackettstown,870
Hagerstown,871
Haltom city,872
Hamburg,873
Hamden,874
Hamilton,875
Hamlet,876
Hammond,877
Hampden-Sydney,878
Hampton,879
Hanceville,880
Hancock,881
Hanford,882
Hannibal,883
Hanover,884
Hanover Park,885
Happy Valley,886
Harlem,887
Harlingen,888
Harriman,889
Harrisburg,890
Harrison,891
Harrisonburg,892
Harrisonville,893
Harrogate,894
Hartford,895
Hartsville,896
Hastings,897
Hato Rey,898
Hattiesburg,899
Hauppauge,900
Haverford,901
Haverhill,902
Haviland,903
Havre,904
Hawkins,905
Hays,906
Hayward,907
Hazard,908
Hazle TWP.,909
Hazleton,910
Heath,911
Heber City,912
Helena,913
Hemet,914
Hempstead,915
Henderson,916
Hendersonville,917
Henniker,918
Henrico,919
Herkimer,920
Hershey,921
Hesperia,922
Hesston,923
Hialeah,924
Hialeah Gardens,925
Hibbing,926
Hickory,927
Hicksville,928
High Point,929
Highland,930
Highland Heights,931
Hillcrest Heights,932
Hillsboro,933
Hillsdale,934
Hilo,935
Hiram,936
Hobbs,937
Hobe Sound,938
Hoboken,939
Hoffman Estates,940
Hohenwald,941
Holbrook,942
Holladay,943
Holland,944
Holly Hill,945
Holly Springs,946
Hollywood,947
Holyoke,948
Homestead,949
Honolulu,950
Hooksett,951
Hoover,952
Hope,953
Hopkinsville,954
Horn Lake,955
Hot Springs,956
Houghton,957
Houma,958
Houston,959
Howell,960
Huber Heights,961
Hudson,962
Hudson Falls,963
Humacao,964
Hunt Valley,965
Hunter Army Airfield,966
Huntersville,967
Huntingdon,968
Huntington,969
Huntington Beach,970
Huntington Park,971
Huntsville,972
Huron,973
Hurst,974
Hutchinson,975
Hyde Park,976
Hyden,977
Idaho Falls,978
Ilion,979
Immaculata,980
Immokalee,981
Imperial,982
Ina,983
Incline Village,984
Independence,985
Indiana,986
Indianapolis,987
Indianola,988
Indio,989
Inglewood,990
Institute,991
International Falls,992
Inver Grove Heights,993
Inverness,994
Iola,995
Ionia,996
Iowa City,997
Iowa Falls,998
Ipswich,999
Ironton,1000
Ironwood,1001
Irvine,1002
Irving,1003
Irwin,1004
Irwindale,1005
Isabela,1006
Iselin,1007
Islandia,1008
Ithaca,1009
Itta Bena,1010
Ivins,1011
Jacksboro,1012
Jackson,1013
Jacksonville,1014
Jamaica,1015
Jamestown,1016
Janesville,1017
Jasper,1018
Jefferson,1019
Jefferson City,1020
Jeffersonville,1021
Jenkintown,1022
Jenks,1023
Jerome,1024
Jersey City,1025
Jessup,1026
Johnson,1027
Johnson City,1028
Johnston,1029
Johnstown,1030
Joliet,1031
Jonesboro,1032
Joplin,1033
Joshua Tree,1034
Juana Diaz,1035
Juneau,1036
Kahului,1037
Kailua Kona,1038
Kalamazoo,1039
Kalispell,1040
Kalona,1041
Kaneohe,1042
Kankakee,1043
Kansas,1044
Kansas City,1045
Kapolei,1046
Kaysville,1047
Kearney,1048
Keene,1049
Kenansville,1050
Kenilworth,1051
Kenmore,1052
Kenner,1053
Kennesaw,1054
Kennewick,1055
Kenosha,1056
Kent,1057
Kentfield,1058
Kentwood,1059
Kerrville,1060
Keshena,1061
Kettering,1062
Keuka Park,1063
Kew Gardens,1064
Key West,1065
Keyport,1066
Keyser,1067
Kilgore,1068
Killeen,1069
King of Prussia,1070
Kingman,1071
Kings Point,1072
Kingston,1073
Kingstree,1074
Kingsville,1075
Kinston,1076
Kirkland,1077
Kirksville,1078
Kirtland,1079
Kissimmee,1080
Kittanning,1081
Klamath Falls,1082
Knox,1083
Knoxville,1084
Kokomo,1085
Koror,1086
Kutztown,1087
Kyle,1088
L'Anse,1089
LITCHFIELD,1090
La Crosse,1091
La Grande,1092
La Jolla,1093
La Joya,1094
La Junta,1095
La Mesa,1096
La Mirada,1097
La Plata,1098
La Plume,1099
La Puente,1100
La Quinta,1101
La Verne,1102
LaFollette,1103
Lacey,1104
Lacombe,1105
Laconia,1106
Lafayette,1107
Lagrange,1108
Laguna Beach,1109
Laie,1110
Lake Charles,1111
Lake City,1112
Lake Elmo,1113
Lake Forest,1114
Lake Havasu City,1115
Lake Jackson,1116
Lake Katrine,1117
Lake Mary,1118
Lake Milton,1119
Lake Park,1120
Lake Wales,1121
Lake Worth,1122
Lakeland,1123
Lakewood,1124
Lamar,1125
Lame Deer,1126
Lamoni,1127
Lancaster,1128
Land O'Lakes,1129
Landover,1130
Langhorne,1131
Langston,1132
Lansdale,1133
Lansing,1134
Laramie,1135
Laredo,1136
Largo,1137
Las Animas,1138
Las Cruces,1139
Las Vegas,1140
Latham,1141
Latrobe,1142
Lauderdale Lakes,1143
Lauderhill,1144
Laurel,1145
Laurinburg,1146
Lawrence,1147
Lawrenceburg,1148
Lawrenceville,1149
Lawton,1150
Layton,1151
League City,1152
Leavenworth,1153
Leawood,1154
Lebanon,1155
Leesburg,1156
Leesport,1157
Lehi,1158
Lehman,1159
Leisure City,1160
Lemont Furnace,1161
Lemoore,1162
Lenexa,1163
Leroy,1164
Levelland,1165
Levittown,1166
Lewes,1167
Lewis Center,1168
Lewisburg,1169
Lewiston,1170
Lewistown,1171
Lewisville,1172
Lexington,1173
Liberal,1174
Liberty,1175
Libertyville,1176
Lihue,1177
Lilburn,1178
Lima,1179
Lincoln,1180
Lincoln University,1181
Lincroft,1182
Lindsborg,1183
Linn,1184
Linthicum,1185
Linwood,1186
Lisbon,1187
Lisle,1188
Lithia  Springs,1189
Lithonia,1190
Little Rock,1191
Littleton,1192
Live Oak,1193
Livermore,1194
Liverpool,1195
Livingston,1196
Livonia,1197
Loch Sheldrake,1198
Lock Haven,1199
Locust Grove,1200
Lodi,1201
Logan,1202
Loma Linda,1203
Lombard,1204
Lone Tree,1205
Long Beach,1206
Long Island City,1207
Longmeadow,1208
Longview,1209
Lookout Mountain,1210
Lorain,1211
Loretto,1212
Los Alamitos,1213
Los Alamos,1214
Los Altos Hills,1215
Los Angeles,1216
Los Lunas,1217
Loudonville,1218
Louisburg,1219
Louisville,1220
Loveland,1221
Lowell,1222
Lubbock,1223
Lucasville,1224
Lucerne,1225
Ludlow,1226
Lufkin,1227
Lumberton,1228
Lunenburg,1229
Lynchburg,1230
Lyndhurst,1231
Lyndonvile,1232
Lynnwood,1233
MEADVILLE,1234
Machias,1235
Macomb,1236
Macon,1237
Macy,1238
Madera,1239
Madison,1240
Madison Heights,1241
Madisonville,1242
Magnolia,1243
Mahnomen,1244
Mahwah,1245
Maitland,1246
Majuro,1247
Malden,1248
Malibu,1249
Malta,1250
Malvern,1251
Manassas,1252
Manat,1253
Manati,1254
Manchester,1255
Mangilao,1256
Manhasset,1257
Manhattan,1258
Manitowoc,1259
Mankato,1260
Mansfield,1261
Margate,1262
Marianna,1263
Marietta,1264
Marion,1265
Marlboro,1266
Marlborough,1267
Marquette,1268
Mars,1269
Mars Hill,1270
Marshall,1271
Marshalltown,1272
Marshfield,1273
Martin,1274
Martinez,1275
Martinsburg,1276
Martinsville,1277
Marysville,1278
Maryville,1279
Mason City,1280
Matteson,1281
Mattoon,1282
Mattydale,1283
Maumee,1284
Mayaguez,1285
Mayfield Hts,1286
Mays Landing,1287
Maysville,1288
Mayville,1289
McAlester,1290
McAllen,1291
McHenry,1292
McKees Rocks,1293
McKeesport,1294
McKenzie,1295
McKinney,1296
McLean,1297
McMinnville,1298
McPherson,1299
Meadville,1300
Mebane,1301
Mechanicsburg,1302
Medford,1303
Media,1304
Medina,1305
Melbourne,1306
Melfa,1307
Melrose Park,1308
Memphis,1309
Mena,1310
Mendenhall,1311
Menomonie,1312
Mentor,1313
Mequon,1314
Merced,1315
Mercedita,1316
Mercer,1317
Meridian,1318
Merrillville,1319
Merrimack,1320
Merritt Island,1321
Mesa,1322
Mesquite,1323
Metairie,1324
Mexico,1325
Miami,1326
Miami Beach,1327
Miami Gardens,1328
Miami Lakes,1329
Miami Springs,1330
Miamisburg,1331
Middleburg Heights,1332
Middlebury,1333
Middletown,1334
Midfield,1335
Midland,1336
Midlothian,1337
Midvale,1338
Midway,1339
Midwest City,1340
Milan,1341
Miles City,1342
Mill Creek,1343
Milledgeville,1344
Millersville,1345
Milligan,1346
Milpitas,1347
Milton,1348
Milwaukee,1349
Minden,1350
Mineola,1351
Minneapolis,1352
Minnetonka,1353
Minot,1354
Miramar,1355
Misenheimer,1356
Mishawaka,1357
Mission,1358
Mission Viejo,1359
Mississippi State,1360
Missoula,1361
Mitchell,1362
Moberly,1363
Mobile,1364
Modesto,1365
Mokena,1366
Moline,1367
Monaca,1368
Monessen,1369
Monmouth,1370
Monroe,1371
Monroeville,1372
Monrovia,1373
Monsey,1374
Mont Alto,1375
Montclair,1376
Monterey,1377
Monterey Park,1378
Montevallo,1379
Montgomery,1380
Monticello,1381
Montpelier,1382
Montreat,1383
Moon Township,1384
Moore,1385
Moorefield,1386
Moorestown,1387
Mooresville,1388
Moorhead,1389
Moorpark,1390
Moosic,1391
Moraga,1392
Morehead,1393
Morehead City,1394
Moreno Valley,1395
Morgan City,1396
Morganton,1397
Morgantown,1398
Morrilton,1399
Morris,1400
Morris Plains,1401
Morrison,1402
Morristown,1403
Morrisville,1404
Morrow,1405
Moscow,1406
Moses Lake,1407
Mount Berry,1408
Mount Braddock,1409
Mount Carmel,1410
Mount Gay,1411
Mount Hope,1412
Mount Kisco,1413
Mount Laurel,1414
Mount Olive,1415
Mount Pleasant,1416
Mount Prospect,1417
Mount Vernon,1418
Mountain Home,1419
Mountlake Terrace,1420
Mt. Kisco,1421
Mt. Pleasant,1422
Mullins,1423
Muncie,1424
Mundelein,1425
Murfreesboro,1426
Murphy,1427
Murray,1428
Muscle Shoals,1429
Muskegon,1430
Muskogee,1431
Myerstown,1432
Myrtle Beach,1433
N Little Rock,1434
NAS Lemoore,1435
Nacogdoches,1436
Naguabo,1437
Nampa,1438
Nanticoke,1439
Nanuet,1440
Napa,1441
Napanoch,1442
Naperville,1443
Naples,1444
Nashotah,1445
Nashua,1446
Nashville,1447
Natchez,1448
Natchitoches,1449
Needham,1450
Nelsonville,1451
Neosho,1452
Nevada,1453
New Albany,1454
New Baltimore,1455
New Bedford,1456
New Bern,1457
New Braunfels,1458
New Britain,1459
New Brunswick,1460
New Carrollton,1461
New Castle,1462
New Concord,1463
New Cumberland,1464
New Haven,1465
New Iberia,1466
New Kensington,1467
New Lenox,1468
New London,1469
New Orleans,1470
New Paltz,1471
New Philadelphia,1472
New Port Richey,1473
New Rochelle,1474
New Tazewell,1475
New Town,1476
New Ulm,1477
New Wilmington,1478
New Windsor,1479
New York,1480
New York City,1481
Newark,1482
Newberg,1483
Newbern,1484
Newberry,1485
Newburgh,1486
Newport,1487
Newport  News,1488
Newport Beach,1489
Newport News,1490
Newton,1491
Newton Centre,1492
Newtown,1493
Niagara Falls,1494
Niagara University,1495
Niantic,1496
Niceville,1497
Nicholasville,1498
Niles,1499
Norco,1500
Norcross,1501
Norfolk,1502
Normal,1503
Norman,1504
Norristown,1505
North Adams,1506
North Andover,1507
North Augusta,1508
North Brunswick,1509
North Canton,1510
North Charleston,1511
North Chesterfield,1512
North Chicago,1513
North Dartmouth,1514
North East,1515
North Haven,1516
North Hollywood,1517
North Little Rock,1518
North Manchester,1519
North Mankato,1520
North Miami,1521
North Miami Beach,1522
North Newton,1523
North Plainfield,1524
North Platte,1525
North Providence,1526
North Wales,1527
Northampton,1528
Northfield,1529
Northport,1530
Northridge,1531
Norton,1532
Norton Shores,1533
Norwalk,1534
Norwich,1535
Norwood,1536
Notre Dame,1537
Novi,1538
Nutley,1539
OREGON,1540
Oak Brook,1541
Oak Forest,1542
Oak Harbor,1543
Oak Hill,1544
Oak Lawn,1545
Oak Park,1546
Oakbrook,1547
Oakdale,1548
Oakland,1549
Oakland City,1550
Oakland Park,1551
Oakwood,1552
Oberlin,1553
Ocala,1554
Ocean,1555
Oceanside,1556
Odessa,1557
Ogden,1558
Oglesby,1559
Oil City,1560
Oklahoma City,1561
Okmulgee,1562
Olathe,1563
Old Hickory,1564
Old Westbury,1565
Olean,1566
Olivet,1567
Olney,1568
Olympia,1569
Omaha,1570
Omega,1571
Onalaska,1572
Oneonta,1573
Ontario,1574
Opelousas,1575
Orange,1576
Orange Beach,1577
Orange City,1578
Orange Park,1579
Orangeburg,1580
Orchard Park,1581
Oregon City,1582
Orem,1583
Orlando,1584
Ormond Beach,1585
Orono,1586
Oroville,1587
Orrville,1588
Osage Beach,1589
Oshkosh,1590
Oskaloosa,1591
Ossining,1592
Oswego,1593
Ottawa,1594
Ottumwa,1595
Overland,1596
Overland Park,1597
Oviedo,1598
Owensboro,1599
Owings Mills,1600
Owosso,1601
Oxford,1602
Oxnard,1603
PERU,1604
Pablo,1605
Paducah,1606
PagoPago,1607
Painesville,1608
Palatine,1609
Palatka,1610
Palm Beach Gardens,1611
Palm Coast,1612
Palm Desert,1613
Palm Springs,1614
Palmer,1615
Palo Alto,1616
Palos Heights,1617
Palos Hills,1618
Panama City,1619
Panorama City,1620
Papillion,1621
Paragould,1622
Paramount,1623
Paramus,1624
Paris,1625
Park Hills,1626
Parker,1627
Parkersburg,1628
Parkland,1629
Parkville,1630
Parma,1631
Parsippany,1632
Parsons,1633
Pasadena,1634
Pasco,1635
Paso Robles,1636
Patchogue,1637
Paterson,1638
Patrick Air Force Base,1639
Paul Smiths,1640
Pawaukee,1641
Pawtucket,1642
Paxton,1643
Payson,1644
Pearl,1645
Pearl City,1646
Peekskill,1647
Pella,1648
Pembroke,1649
Pembroke Pines,1650
Pendleton,1651
Penngrove,1652
Pensacola,1653
Peoria,1654
Pepper Pike,1655
Perkasie,1656
Perkinston,1657
Perry,1658
Perrysburg,1659
Perth Amboy,1660
Peru,1661
Petaluma,1662
Petersburg,1663
Petoskey,1664
Pewaukee,1665
Pharr,1666
Phenix City,1667
Philadelphia,1668
Philippi,1669
Phoenix,1670
Phoenixville,1671
Piedmont,1672
Piketon,1673
Pikeville,1674
Pine Bluff,1675
Pine Brook,1676
Pine City,1677
Pinehurst,1678
Pineville,1679
Pippa Passes,1680
Piqua,1681
